dex_number	internal_id	species_name	form_name	form_type	lineage_id	evo_stage	form_key	sprite_key	evolves_from	evolves_into	evo_method_id	evo_method_text	evo_param	evo_param_item	evo_item_obtainable	type_1	type_2	hp	atk	def	spa	spd	spe	bst	ability_1	ability_2	ability_hidden	levelup_moves	tm_moves	tutor_moves	egg_moves	egg_groups	held_items	availability	earliest_gate	earliest_gate_name	earliest_level	earliest_gate_basis	is_starter	starter_reobtainable	wild_obtainable	one_time_only	missable	source_record	confidence	notes
99	99	Kingler	NONE	base	98	2	Kingler	99	Krabby	Kingler	254	with the evo[3] === 2 ? 'move ' + moves[733].name : items[733].name	733	Kinglerite	UNK	Water	NONE	55	130	115	50	50	75	475	Sheer Force	Hyper Cutter	Battle Armor	Wide Guard:1,Mud Sport:1,Bubble:1,Aqua Jet:1,Leer:1,Vise Grip:5,Leer:9,Harden:11,Bubble Beam:15,Mud Shot:19,Metal Claw:21,Stomp:25,Slash:37,Slam:44,Brine:51,Crabhammer:56,Flail:63,Meteor Mash:69,Ice Hammer:75	0:Close Combat,2:Flip Turn,5:Toxic,9:Hidden Power,12:Ice Beam,13:Blizzard,16:Protect,17:Hydro Pump,20:Icy Wind,22:Iron Head,26:Return,27:Dig,30:Brick Break,36:High Horsepower,38:Rock Tomb,40:Liquidation,41:Facade,43:Rest,45:Thief,65:Steel Beam,68:Stomping Tantrum,74:Knock Off,79:Rock Slide,80:X-Scissor,81:Sleep Talk,82:Scald,100:Ice Punch,108:Superpower,120:Cut,122:Surf,123:Strength,125:Rock Smash	20:Iron Defense,50:Snowscape,53:Swords Dance,74:Substitute,91:Body Slam,102:Hone Claws,123:Rain Dance	Haze,Amnesia,Flail,Slam,Knock Off,Tickle,Ancient Power,Agility,Endure,Chip Away,Bide,Hammer Arm,Slash,Night Slash	Water3,Water3	NONE	Route 21 North:wild-superRod:9:53-55:2|Safari Zone Area 3:wild-superRod:9:53-55:0|Seafoam Islands B3F:wild-night:10:62-64:4|Seafoam Islands B3F:wild-night:10:62-64:5|Cerulean Cave 1F:wild-surf:12:56-58:3|Cerulean Cave 1F:wild-surf:12:56-58:4|Treasure Beach:wild-day:17:83-85:8|Treasure Beach:wild-day:17:83-85:9|Cape Brink:wild-superRod:17:83-85:3|Cape Brink:wild-superRod:17:83-85:4	2	Misty	NA	via-evolution	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[99]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
100	100	Voltorb	NONE	base	100	1	Voltorb	100	NONE	Electrode	4	at Level 28	28	NA	NA	Electric	NONE	40	30	50	55	55	100	330	Galvanize	Soundproof	Static	Charge:1,Tackle:1,Sonic Boom:4,Eerie Impulse:6,Shock Wave:9,Rollout:11,Screech:13,Charge Beam:16,Swift:20,Electro Ball:22,Self-Destruct:26,Light Screen:29,Magnet Rise:34,Discharge:37,Explosion:41,Gyro Ball:46,Mirror Coat:48,Court Change:57	5:Toxic,9:Hidden Power,11:Taunt,15:Light Screen,16:Protect,23:Thunderbolt,24:Thunder,26:Return,32:Reflect,33:Teleport,41:Facade,43:Rest,45:Thief,57:Rising Voltage,63:Explosion,72:Thunder Wave,73:Gyro Ball,81:Sleep Talk,90:Flash Cannon,91:Volt Switch,98:Wild Charge,124:Flash	11:Charge Beam,41:Foul Play,74:Substitute,123:Rain Dance	Metal Sound,Recycle	Mineral,Mineral	NONE	Route 10:wild-day:3:27-29:0	3	Surge	27	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[100]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
101	101	Electrode	NONE	base	100	2	Electrode	101	Voltorb	NONE	NONE	NONE	NONE	NONE	NA	Electric	NONE	60	55	70	100	80	150	515	Galvanize	Soundproof	Static	Magnetic Flux:1,Charge:1,Tackle:1,Sonic Boom:1,Tri Attack:1,Sonic Boom:4,Eerie Impulse:6,Shock Wave:9,Rollout:11,Screech:13,Charge Beam:16,Swift:20,Electro Ball:22,Self-Destruct:26,Light Screen:29,Magnet Rise:36,Discharge:41,Explosion:44,Gyro Ball:47,Mirror Coat:54,Court Change:57	5:Toxic,9:Hidden Power,10:Soupercell Slam,11:Taunt,15:Light Screen,16:Protect,19:Hyper Voice,21:Weather Ball,23:Thunderbolt,24:Thunder,26:Return,31:Aura Sphere,32:Reflect,33:Teleport,41:Facade,43:Rest,45:Thief,51:Focus Blast,57:Rising Voltage,63:Explosion,72:Thunder Wave,73:Gyro Ball,81:Sleep Talk,90:Flash Cannon,91:Volt Switch,98:Wild Charge,124:Flash	11:Charge Beam,41:Foul Play,74:Substitute,123:Rain Dance	Metal Sound,Recycle	Mineral,Mineral	NONE	Power Plant:wild-day:10:63-65:1|Power Plant:wild-night:10:63-65:1	3	Surge	NA	via-evolution	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[101]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
102	102	Exeggcute	NONE	base	102	1	Exeggcute	102	NONE	Exeggutor,Exeggutor	7,7	with a items[98].name98 !== 101 ? '' : evo[3] === 254 ? ' (Female)' : ' (Male)',with a items[93].name93 !== 101 ? '' : evo[3] === 254 ? ' (Female)' : ' (Male)'	98,93	Leaf Stone,Sun Stone	UNK	Grass	Psychic	60	40	80	60	45	40	325	Harvest	Chlorophyll	NONE	Uproar:1,Hypnosis:1,Psybeam:1,Bullet Seed:1,Reflect:7,Leech Seed:11,Stun Spore:15,Mega Drain:17,Stun Spore:19,Poison Powder:21,Sleep Powder:23,Confusion:27,Worry Seed:33,Natural Gift:37,Solar Beam:43,Extrasensory:47,Bestow:50	3:Seed Bomb,5:Toxic,8:Bullet Seed,9:Hidden Power,15:Light Screen,16:Protect,18:Giga Drain,26:Return,28:Psychic,32:Reflect,33:Teleport,35:Sludge Bomb,41:Facade,43:Rest,45:Thief,52:Energy Ball,53:Grassy Glide,54:Expanding Force,63:Explosion,81:Sleep Talk,84:Future Sight,85:Grass Knot,104:Psychic Noise,115:Trick Room,123:Strength,124:Flash	7:Uproar,21:Celebrate,53:Swords Dance,74:Substitute,99:Sunny Day,101:Solar Beam	Synthesis,Moonlight,Ancient Power,Ingrain,Curse,Nature Power,Lucky Chant,Leaf Storm,Power Swap,Giga Drain,Skill Swap,Natural Gift,Block,Wish,Grassy Terrain	Grass,Grass	Psychic Seed	Pewter City:wild-day:0:7-9:2|Pewter City:wild-night:0:7-9:2|Route 9:wild-day:3:25-27:1|Route 9:wild-night:3:25-27:1	0	Brock	7	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[102]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
103	103	Exeggutor	NONE	base	102	2	Exeggutor	103	Exeggcute	NONE	NONE	NONE	NONE	NONE	NA	Grass	Psychic	95	95	85	125	75	55	530	Harvest	Chlorophyll	NONE	Stomp:0,Stomp:1,Seed Bomb:1,Hypnosis:1,Confusion:1,Psyshock:17,Egg Bomb:27,Wood Hammer:37,Leaf Storm:47,Chloroblast:68	3:Seed Bomb,5:Toxic,7:Zen Headbutt,8:Bullet Seed,9:Hidden Power,15:Light Screen,16:Protect,18:Giga Drain,21:Weather Ball,26:Return,28:Psychic,32:Reflect,33:Teleport,35:Sludge Bomb,39:Low Kick,41:Facade,43:Rest,45:Thief,52:Energy Ball,53:Grassy Glide,54:Expanding Force,63:Explosion,68:Stomping Tantrum,75:Earth Power,81:Sleep Talk,84:Future Sight,85:Grass Knot,95:Bulldoze,103:Psyshock,104:Psychic Noise,115:Trick Room,123:Strength,124:Flash	7:Uproar,21:Celebrate,32:Calm Mind,53:Swords Dance,74:Substitute,99:Sunny Day,101:Solar Beam,112:Mystical Fire	Synthesis,Moonlight,Ancient Power,Ingrain,Curse,Nature Power,Lucky Chant,Leaf Storm,Power Swap,Giga Drain,Skill Swap,Natural Gift,Block,Wish,Grassy Terrain	Grass,Grass	NONE	Route 13:wild-day:9:48-50:1	0	Brock	NA	via-evolution	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[103]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
104	104	Cubone	NONE	base	104	1	Cubone	104	NONE	Marowak,Marowak	23,22	at Level 28 (Day),at Level 28 (Night)	28,28	NA,NA	NA	Ground	NONE	50	50	95	40	50	35	320	Bone Zone 	Rock Head	Battle Armor	Growl:1,Tail Whip:3,Bone Club:7,Headbutt:11,Leer:13,Focus Energy:17,Bonemerang:21,Rage:23,False Swipe:27,Thrash:31,Fling:33,Stomping Tantrum:37,Endeavor:41,Double-Edge:43,Retaliate:47,Bone Rush:51	5:Toxic,9:Hidden Power,12:Ice Beam,13:Blizzard,16:Protect,20:Icy Wind,22:Iron Head,25:Earthquake,26:Return,27:Dig,30:Brick Break,34:Flamethrower,37:Fire Blast,38:Rock Tomb,39:Low Kick,41:Facade,43:Rest,45:Thief,61:Iron Tail,74:Knock Off,75:Earth Power,76:Thunder Punch,79:Rock Slide,81:Sleep Talk,86:Aerial Ace,95:Bulldoze,97:Fire Punch,109:Scorching Sands,123:Strength,125:Rock Smash	1:Power-Up Punch,7:Uproar,20:Iron Defense,47:Stealth Rock,53:Swords Dance,74:Substitute,91:Body Slam,99:Sunny Day,109:Sandstorm,120:Focus Punch	Head Smash,Belly Drum,Screech,Skull Bash,Perish Song,Double Kick,Iron Head,Detect,Endure,Chip Away,Curse	Monster,Monster	Thick Club	Pokemon Tower 3F:wild-day:3:45-47:5|Pokemon Tower 4F:wild-day:3:45-47:5|Pokemon Tower 5F:wild-day:3:45-47:5|Pokemon Tower 6F:wild-day:3:45-47:5|Pokemon Tower 3F:wild-night:3:45-47:5|Pokemon Tower 4F:wild-night:3:45-47:5|Pokemon Tower 5F:wild-night:3:45-47:5|Pokemon Tower 6F:wild-night:3:45-47:5|Rock Tunnel B1F:wild-night:3:30-32:3|Pokemon Tower 7F:wild-day:6:45-47:5|Pokemon Tower 7F:wild-night:6:45-47:5	3	Surge	30	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[104]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
105	105	Marowak	NONE	base	104	2	Marowak	105	Cubone	NONE	NONE	NONE	NONE	NONE	NA	Ground	NONE	80	80	110	30	80	45	425	Bone Zone 	Rock Head	Battle Armor	Growl:1,Tail Whip:1,Bone Club:1,Headbutt:1,Tail Whip:3,Bone Club:7,Headbutt:11,Leer:13,Focus Energy:17,Bonemerang:21,Rage:23,False Swipe:27,Thrash:33,Fling:37,Stomping Tantrum:43,Endeavor:49,Double-Edge:53,Retaliate:59,Bone Rush:65	5:Toxic,9:Hidden Power,12:Ice Beam,13:Blizzard,16:Protect,20:Icy Wind,22:Iron Head,25:Earthquake,26:Return,27:Dig,30:Brick Break,34:Flamethrower,37:Fire Blast,38:Rock Tomb,39:Low Kick,41:Facade,43:Rest,45:Thief,51:Focus Blast,61:Iron Tail,68:Stomping Tantrum,70:Stone Edge,74:Knock Off,75:Earth Power,76:Thunder Punch,79:Rock Slide,81:Sleep Talk,86:Aerial Ace,95:Bulldoze,97:Fire Punch,109:Scorching Sands,123:Strength,125:Rock Smash	1:Power-Up Punch,7:Uproar,20:Iron Defense,47:Stealth Rock,53:Swords Dance,74:Substitute,91:Body Slam,99:Sunny Day,109:Sandstorm,120:Focus Punch	Head Smash,Belly Drum,Screech,Skull Bash,Perish Song,Double Kick,Iron Head,Detect,Endure,Chip Away,Curse	Monster,Monster	Thick Club	Victory Road 1F:wild-day:16:80-82:8	3	Surge	NA	via-evolution	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[105]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
106	106	Hitmonlee	NONE	base	236	2	Hitmonlee	106	Tyrogue	NONE	NONE	NONE	NONE	NONE	NA	Fighting	NONE	50	120	53	35	110	87	455	Striker	Unburden	Reckless	Double Kick:0,Double Kick:1,Reversal:1,Revenge:1,Meditate:1,Rolling Kick:1,Jump Kick:1,Meditate:5,Rolling Kick:9,Jump Kick:13,Brick Break:17,Focus Energy:21,Feint:25,Sucker Punch:29,Mind Reader:33,Foresight:37,Wide Guard:41,Blaze Kick:45,Endure:49,Aqua Step:54,High Jump Kick:57,Reversal:61,Pyro Ball:66	0:Close Combat,5:Toxic,9:Hidden Power,16:Protect,25:Earthquake,26:Return,30:Brick Break,31:Aura Sphere,38:Rock Tomb,39:Low Kick,41:Facade,43:Rest,45:Thief,51:Focus Blast,68:Stomping Tantrum,69:Triple Axel,70:Stone Edge,74:Knock Off,77:Low Sweep,79:Rock Slide,81:Sleep Talk,83:Poison Jab,95:Bulldoze,108:Superpower,110:Vacuum Wave,123:Strength,125:Rock Smash	0:Work Up,1:Power-Up Punch,7:Uproar,31:Bulk Up,53:Swords Dance,74:Substitute,91:Body Slam,99:Sunny Day,104:Blaze Kick,120:Focus Punch,123:Rain Dance	Rapid Spin,Fake Out,Mach Punch,Skull Bash,Helping Hand,Counter,Vacuum Wave,Bullet Punch,Endure,Pursuit,Feint	Human-Like,Human-Like	NONE	NONE	1	Archer-1	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[106]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
107	107	Hitmonchan	NONE	base	236	2	Hitmonchan	107	Tyrogue	NONE	NONE	NONE	NONE	NONE	NA	Fighting	NONE	50	115	79	35	110	76	465	Inner Focus	Frisk	Iron Fist	Mach Punch:0,Comet Punch:1,Counter:1,Focus Punch:1,Revenge:1,Detect:1,Pursuit:1,Mach Punch:1,Jet Punch:1,Agility:6,Pursuit:11,Mach Punch:16,Bullet Punch:16,Feint:21,Brick Break:26,Quick Guard:31,Thunder Punch:36,Ice Punch:36,Fire Punch:36,Sky Uppercut:41,Mega Punch:46,Sucker Punch:50,Focus Punch:56,Counter:61,Close Combat:66	0:Close Combat,5:Toxic,9:Hidden Power,16:Protect,25:Earthquake,26:Return,30:Brick Break,31:Aura Sphere,38:Rock Tomb,39:Low Kick,41:Facade,43:Rest,45:Thief,51:Focus Blast,59:Drain Punch,70:Stone Edge,74:Knock Off,76:Thunder Punch,77:Low Sweep,79:Rock Slide,81:Sleep Talk,95:Bulldoze,97:Fire Punch,100:Ice Punch,110:Vacuum Wave,123:Strength,125:Rock Smash	0:Work Up,1:Power-Up Punch,7:Uproar,31:Bulk Up,53:Swords Dance,74:Substitute,91:Body Slam,99:Sunny Day,114:Trailblaze,120:Focus Punch,123:Rain Dance	Rapid Spin,Fake Out,Mach Punch,Skull Bash,Helping Hand,Counter,Vacuum Wave,Bullet Punch,Endure,Pursuit,Feint	Human-Like,Human-Like	NONE	NONE	1	Archer-1	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[107]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
108	108	Lickitung	NONE	base	108	1	Lickitung	108	NONE	Lickilicky,Lickilicky	26,4	on Level Up with the move moves[205].name,at Level 35	205,35	NA,NA	NA	Normal	NONE	90	55	75	60	75	30	385	Cloud Nine	Own Tempo	Oblivious	Lick:1,Supersonic:5,Defense Curl:9,Knock Off:13,Wrap:17,Stomp:21,Disable:25,Slam:29,Rollout:33,Chip Away:37,Me First:41,Refresh:45,Screech:49,Power Whip:53,Wring Out:57	5:Toxic,7:Zen Headbutt,9:Hidden Power,12:Ice Beam,13:Blizzard,16:Protect,17:Hydro Pump,20:Icy Wind,23:Thunderbolt,24:Thunder,25:Earthquake,26:Return,27:Dig,29:Shadow Ball,30:Brick Break,34:Flamethrower,37:Fire Blast,38:Rock Tomb,41:Facade,43:Rest,45:Thief,61:Iron Tail,68:Stomping Tantrum,74:Knock Off,76:Thunder Punch,79:Rock Slide,81:Sleep Talk,92:Dragon Tail,95:Bulldoze,97:Fire Punch,100:Ice Punch,114:Body Press,120:Cut,122:Surf,123:Strength,125:Rock Smash	0:Work Up,1:Power-Up Punch,53:Swords Dance,74:Substitute,91:Body Slam,99:Sunny Day,101:Solar Beam,109:Sandstorm,120:Focus Punch,123:Rain Dance,126:Power Whip	Belly Drum,Wish,Magnitude,Body Slam,Curse,Smelling Salts,Sleep Talk,Snore,Amnesia,Hammer Arm,Muddy Water,Zen Headbutt,Belch,Thrash	Monster,Monster	NONE	Route 6:wild-day:2:16-18:6|Route 6:wild-day:2:16-18:7	2	Misty	16	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[108]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
109	109	Koffing	NONE	base	109	1	Koffing	109	NONE	Weezing,Weezing	23,22	at Level 35 (Day),at Level 35 (Night)	35,35	NA,NA	NA	Poison	NONE	40	65	95	60	45	35	340	Toxic Debris	Levitate	Neutralize Gas	Poison Gas:1,Tackle:1,Smog:4,Assurance:12,Clear Smog:15,Sludge:18,Self-Destruct:23,Haze:26,Gyro Ball:29,Sludge Bomb:34,Explosion:37,Destiny Bond:40,Belch:42,Memento:45	5:Toxic,9:Hidden Power,11:Taunt,16:Protect,23:Thunderbolt,24:Thunder,26:Return,29:Shadow Ball,34:Flamethrower,35:Sludge Bomb,37:Fire Blast,41:Facade,43:Rest,45:Thief,60:Will-O-Wisp,62:Venoshock,63:Explosion,73:Gyro Ball,78:Dark Pulse,81:Sleep Talk,102:Sludge Wave,124:Flash	7:Uproar,27:Pain Split,73:Toxic Spikes,74:Substitute,99:Sunny Day,123:Rain Dance	Screech,Psywave,Psybeam,Destiny Bond,Pain Split,Grudge,Spite,Curse,Stockpile,Swallow,Spit Up,Toxic Spikes,Venom Drench	Amorphous,Amorphous	Smoke Ball	Route 2:raid1:0:NA:NA	0	Brock	NA	direct	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[109]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
110	110	Weezing	NONE	base	109	2	Weezing	110	Koffing	NONE	NONE	NONE	NONE	NONE	NA	Poison	NONE	65	90	120	85	70	60	490	Toxic Debris	Levitate	Neutralize Gas	Double Hit:0,Double Hit:1,Poison Gas:1,Tackle:1,Smog:1,Smog:4,Assurance:12,Clear Smog:15,Sludge:18,Self-Destruct:23,Haze:26,Gyro Ball:29,Sludge Bomb:34,Explosion:40,Destiny Bond:46,Belch:51,Memento:57	5:Toxic,6:Heat Wave,9:Hidden Power,11:Taunt,16:Protect,23:Thunderbolt,24:Thunder,26:Return,29:Shadow Ball,34:Flamethrower,35:Sludge Bomb,37:Fire Blast,41:Facade,43:Rest,45:Thief,60:Will-O-Wisp,62:Venoshock,63:Explosion,73:Gyro Ball,78:Dark Pulse,81:Sleep Talk,89:Gunk Shot,102:Sludge Wave,121:Fly,124:Flash	7:Uproar,27:Pain Split,73:Toxic Spikes,74:Substitute,99:Sunny Day,123:Rain Dance	Screech,Psywave,Psybeam,Destiny Bond,Pain Split,Grudge,Spite,Curse,Stockpile,Swallow,Spit Up,Toxic Spikes,Venom Drench	Amorphous,Amorphous	Smoke Ball	Route 17:wild-day:9:46-48:0|Pokemon Mansion 1F:wild-day:11:63-65:4|Pokemon Mansion 2F:wild-day:11:63-65:2	0	Brock	NA	via-evolution	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[110]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
111	111	Rhyhorn	NONE	base	111	1	Rhyhorn	111	NONE	Rhydon	4	at Level 42	42	NA	NA	Ground	Rock	80	85	95	30	30	25	345	Reckless	Lightning Rod	Rock Head	Horn Attack:1,Tail Whip:1,Fury Attack:5,Scary Face:9,Smack Down:13,Stomp:17,Bulldoze:21,Chip Away:25,Rock Blast:29,Drill Run:33,Take Down:37,Stone Edge:41,Earthquake:45,Megahorn:49	4:Roar,5:Toxic,9:Hidden Power,10:Soupercell Slam,12:Ice Beam,13:Blizzard,16:Protect,20:Icy Wind,23:Thunderbolt,24:Thunder,25:Earthquake,26:Return,27:Dig,34:Flamethrower,36:High Horsepower,37:Fire Blast,38:Rock Tomb,41:Facade,43:Rest,45:Thief,58:Dragon Pulse,61:Iron Tail,68:Stomping Tantrum,70:Stone Edge,75:Earth Power,79:Rock Slide,81:Sleep Talk,83:Poison Jab,95:Bulldoze,108:Superpower,109:Scorching Sands,120:Cut,123:Strength,125:Rock Smash	7:Uproar,35:Drill Run,46:Rock Polish,47:Stealth Rock,53:Swords Dance,74:Substitute,87:Rock Blast,88:Thunder Fang,89:Ice Fang,90:Fire Fang,91:Body Slam,99:Sunny Day,109:Sandstorm,123:Rain Dance,125:Megahorn	Crunch,Reversal,Counter,Magnitude,Curse,Crush Claw,Dragon Rush,Ice Fang,Fire Fang,Thunder Fang,Skull Bash,Iron Tail,Rock Climb,Rototiller,Metal Burst,Guard Split	Monster,Field	NONE	Route 5:raid1:2:NA:NA|Route 16:wild-day:3:36-38:2|Rock Tunnel B1F:wild-night:3:30-32:1|Route 16:wild-night:3:36-38:2	2	Misty	NA	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[111]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
112	112	Rhydon	NONE	base	111	2	Rhydon	112	Rhyhorn	Rhyperior	7	with a items[87].name87 !== 101 ? '' : evo[3] === 254 ? ' (Female)' : ' (Male)'	87	Link Cable	UNK	Ground	Rock	105	130	120	45	45	40	485	Reckless	Lightning Rod	Rock Head	Hammer Arm:0,Hammer Arm:1,Horn Attack:1,Tail Whip:1,Fury Attack:1,Scary Face:1,Fury Attack:5,Scary Face:9,Smack Down:13,Stomp:17,Bulldoze:21,Chip Away:25,Rock Blast:29,Drill Run:33,Take Down:37,Stone Edge:41,Earthquake:48,Megahorn:55	4:Roar,5:Toxic,9:Hidden Power,10:Soupercell Slam,12:Ice Beam,13:Blizzard,16:Protect,17:Hydro Pump,20:Icy Wind,23:Thunderbolt,24:Thunder,25:Earthquake,26:Return,27:Dig,30:Brick Break,34:Flamethrower,36:High Horsepower,37:Fire Blast,38:Rock Tomb,41:Facade,43:Rest,45:Thief,51:Focus Blast,58:Dragon Pulse,61:Iron Tail,64:Shadow Claw,68:Stomping Tantrum,70:Stone Edge,75:Earth Power,76:Thunder Punch,79:Rock Slide,81:Sleep Talk,83:Poison Jab,92:Dragon Tail,95:Bulldoze,97:Fire Punch,100:Ice Punch,108:Superpower,109:Scorching Sands,113:Heat Crash,114:Body Press,120:Cut,122:Surf,123:Strength,125:Rock Smash	1:Power-Up Punch,7:Uproar,20:Iron Defense,35:Drill Run,46:Rock Polish,47:Stealth Rock,53:Swords Dance,74:Substitute,87:Rock Blast,88:Thunder Fang,89:Ice Fang,90:Fire Fang,91:Body Slam,99:Sunny Day,109:Sandstorm,120:Focus Punch,122:Meteor Beam,123:Rain Dance,125:Megahorn	Crunch,Reversal,Counter,Magnitude,Curse,Crush Claw,Dragon Rush,Ice Fang,Fire Fang,Thunder Fang,Skull Bash,Iron Tail,Rock Climb,Rototiller,Metal Burst,Guard Split	Monster,Field	NONE	NONE	2	Misty	UNK	via-evolution	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[112]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
113	113	Chansey	NONE	base	493	2	Chansey	113	Happiny	Blissey	1	on Level Up with Friendship	0	NA	NA	Normal	NONE	250	5	5	35	105	50	450	NONE	Natural Cure	Serene Grace	Double-Edge:1,Defense Curl:1,Pound:1,Growl:1,Tail Whip:5,Refresh:9,Double Slap:12,Soft-Boiled:16,Bestow:20,Baby-Doll Eyes:23,Take Down:27,Sing:31,Fling:35,Heal Pulse:39,Egg Bomb:44,Light Screen:50,Healing Wish:57,Double-Edge:65	5:Toxic,7:Zen Headbutt,9:Hidden Power,12:Ice Beam,13:Blizzard,15:Light Screen,16:Protect,19:Hyper Voice,20:Icy Wind,23:Thunderbolt,24:Thunder,25:Earthquake,26:Return,28:Psychic,29:Shadow Ball,30:Brick Break,32:Reflect,33:Teleport,34:Flamethrower,37:Fire Blast,38:Rock Tomb,41:Facade,43:Rest,59:Drain Punch,61:Iron Tail,68:Stomping Tantrum,72:Thunder Wave,76:Thunder Punch,79:Rock Slide,81:Sleep Talk,85:Grass Knot,95:Bulldoze,97:Fire Punch,98:Wild Charge,100:Ice Punch,101:Dazzling Gleam,123:Strength,124:Flash,125:Rock Smash	0:Work Up,1:Power-Up Punch,7:Uproar,11:Charge Beam,32:Calm Mind,47:Stealth Rock,50:Snowscape,74:Substitute,91:Body Slam,97:Stored Power,99:Sunny Day,101:Solar Beam,109:Sandstorm,114:Trailblaze,120:Focus Punch,123:Rain Dance	Present,Metronome,Heal Bell,Aromatherapy,Counter,Helping Hand,Gravity,Mud Bomb,Seismic Toss,Endure,Wish	Fairy,Fairy	Lucky Punch,Lucky Egg	Safari Zone Area 1:wild-day:9:50-52:10|Safari Zone Area 1:wild-day:9:50-52:11|Safari Zone Area 1:wild-night:9:50-52:10|Safari Zone Area 1:wild-night:9:50-52:11	9	Koga	50	direct	FALSE	NA	TRUE	FALSE	FALSE	data.js:species[113]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
114	114	Tangela	NONE	base	114	1	Tangela	114	NONE	Tangrowth,Tangrowth	26,4	on Level Up with the move moves[246].name,at Level 45	246,45	NA,NA	NA	Grass	NONE	65	55	115	100	40	60	435	Regenerator	Chlorophyll	Leaf Guard	Ingrain:1,Constrict:1,Sleep Powder:4,Vine Whip:7,Absorb:10,Poison Powder:14,Bind:17,Growth:20,Mega Drain:23,Knock Off:27,Stun Spore:30,Natural Gift:33,Giga Drain:36,Ancient Power:38,Slam:41,Tickle:44,Wring Out:46,Grassy Terrain:48,Power Whip:50	3:Seed Bomb,5:Toxic,8:Bullet Seed,9:Hidden Power,16:Protect,18:Giga Drain,26:Return,32:Reflect,35:Sludge Bomb,41:Facade,43:Rest,45:Thief,52:Energy Ball,53:Grassy Glide,74:Knock Off,81:Sleep Talk,85:Grass Knot,120:Cut,124:Flash,125:Rock Smash	27:Pain Split,53:Swords Dance,74:Substitute,91:Body Slam,99:Sunny Day,101:Solar Beam,126:Power Whip	Flail,Confusion,Mega Drain,Amnesia,Leech Seed,Nature Power,Endeavor,Leaf Storm,Power Swap,Giga Drain,Rage Powder,Natural Gift,Wake-Up Slap	Grass,Grass	NONE	Route 9:raid1:3:NA:NA	3	Surge	NA	direct	FALSE	NA	FALSE	FALSE	FALSE	data.js:species[114]	Measured	derived: bst, evo_stage, earliest_gate, earliest_level, flags
